S.No,Field of Interest,Company Hired,Top Skill,Experience Level
1057,Cybersecurity,Cisco,Ethical Hacking,Not Fresher
1058,AI/ML,rtCamp,Kotlin,Not Fresher
1059,Data Analytics,EY,Power BI,Not Fresher
1060,DevOps,JK Cement,SQL,Fresher
1061,Embedded Systems,Intel,C,Not Fresher
1062,Web Development,Secure Meters,Flutter,Not Fresher
1063,AI/ML,DeepMind,Scikit-learn,Not Fresher
1064,Game Development,Electronic Arts,Unreal Engine,Not Fresher
1065,Mobile Development,TVS Motors,CI/CD,Fresher
1066,Cloud Computing,Azure,GCP,Not Fresher
1067,DevOps,Atlassian,Kubernetes,Not Fresher
1068,Web Development,Cisco,CI/CD,Not Fresher
1069,Embedded Systems,Qualcomm,Microcontrollers,Not Fresher
1070,Cybersecurity,Zscaler,Network Security,Fresher
1071,Cybersecurity,JK Cement,React Native,Not Fresher
1072,Game Development,Rockstar Games,C#,Fresher
1073,Web Development,Microsoft,HTML/CSS,Not Fresher
1074,Embedded Systems,TCS,Scikit-learn,Not Fresher
1075,Mobile Development,rtCamp,Ethical Hacking,Not Fresher
1076,Game Development,EVAge Motors,Kubernetes,Fresher
1077,Cybersecurity,Deloitte,Ethical Hacking,Not Fresher
1078,Mobile Development,Scaler,TensorFlow,Not Fresher
1079,Embedded Systems,Texas Instruments,RTOS,Not Fresher
1080,Cloud Computing,Azure,Azure,Not Fresher
1081,Cybersecurity,Celebal Technologies,Azure,Not Fresher
1082,Web Development,Amazon,React,Not Fresher
1083,Game Development,Maverick Quantum,Firewalls,Not Fresher
1084,Embedded Systems,Texas Instruments,Microcontrollers,Fresher
1085,Data Analytics,Google,TensorFlow,Fresher
1086,AI/ML,Apple,CI/CD,Fresher
1087,Game Development,Ubisoft,Unity,Not Fresher
1088,Cybersecurity,SunLife,Scikit-learn,Fresher
1089,Web Development,Microsoft,Angular,Not Fresher
1090,AI/ML,Micron Semiconductor,TensorFlow,Not Fresher
1091,Game Development,Infosys,Ethical Hacking,Not Fresher
1092,Embedded Systems,Cimpress,RTOS,Not Fresher
1093,Data Analytics,Ubisoft,Tableau,Not Fresher
1094,Cybersecurity,Secure Meters,AWS,Not Fresher
1095,AI/ML,EY,Network Security,Not Fresher
1096,Cloud Computing,Juniper Networks,Scikit-learn,Fresher
1097,Web Development,Google,React,Fresher
1098,Game Development,Blackrock,Flutter,Not Fresher
1099,Cloud Computing,SAP Scholar,Firewalls,Not Fresher
1100,Game Development,Ubisoft,Unreal Engine,Fresher
1101,AI/ML,NI Systems,CI/CD,Not Fresher
1102,Mobile Development,Persistent,Network Security,Not Fresher
1103,Cybersecurity,Palo Alto Networks,Network Security,Not Fresher
1104,Data Analytics,PwC,Tableau,Not Fresher
1105,AI/ML,rtCamp,Unreal Engine,Fresher
1106,Web Development,Google,Angular,Fresher
1107,Game Development,Electronic Arts,Unity,Not Fresher
1108,AI/ML,OpenAI,PyTorch,Not Fresher
1109,Web Development,Watchguard,Microcontrollers,Not Fresher
1110,DevOps,GitHub,Docker,Not Fresher
1111,Data Analytics,Google Cloud,Firewalls,Not Fresher
1112,Embedded Systems,Qualcomm,RTOS,Fresher
1113,DevOps,Mercer Mettl,Kubernetes,Not Fresher
1114,Web Development,Bosch Ltd.,Unreal Engine,Not Fresher
1115,AI/ML,Texas Instruments,C,Fresher
1116,Cybersecurity,Zscaler,Ethical Hacking,Not Fresher
1117,Game Development,Rockstar Games,Unity,Fresher
1118,Web Development,Google,React,Not Fresher
1119,Web Development,Google,HTML/CSS,Not Fresher
1120,AI/ML,DeepMind,Scikit-learn,Not Fresher
1121,Data Analytics,Deloitte,Tableau,Not Fresher
1122,Mobile Development,Amazon,Power BI,Fresher
1123,Data Analytics,Apple,Angular,Not Fresher
1124,Mobile Development,Hyundai,React,Not Fresher
1125,Embedded Systems,Qualcomm,Microcontrollers,Not Fresher
1126,Game Development,Electronic Arts,Unity,Not Fresher
1127,Cybersecurity,Cisco,Network Security,Not Fresher
1128,Embedded Systems,Intel,RTOS,Not Fresher
1129,Data Analytics,Deloitte,Tableau,Not Fresher
1130,DevOps,Watchguard,SQL,Not Fresher
1131,Embedded Systems,Intel,RTOS,Not Fresher
1132,DevOps,Atlassian,Docker,Not Fresher
1133,Web Development,Amazon,HTML/CSS,Not Fresher
1134,Data Analytics,Deloitte,Scikit-learn,Not Fresher
1135,Cloud Computing,Texas Instruments,Kotlin,Not Fresher
1136,Embedded Systems,Micron Semiconductor,Ethical Hacking,Not Fresher
1137,DevOps,Red Hat,Kubernetes,Not Fresher
1138,DevOps,Watchguard,Azure,Not Fresher
1139,Cloud Computing,British Telecom,PyTorch,Not Fresher
1140,Data Analytics,Google,Tableau,Not Fresher
1141,AI/ML,DeepMind,PyTorch,Not Fresher
1142,Cloud Computing,Cimpress,Unity,Not Fresher
1143,Game Development,Ubisoft,Unreal Engine,Not Fresher
1144,Data Analytics,Genpact,Firewalls,Not Fresher
1145,Cybersecurity,Seagate,Firewalls,Not Fresher
1146,Data Analytics,EY,SQL,Fresher
1147,Game Development,Rockstar Games,Unreal Engine,Not Fresher
1148,Cloud Computing,Azure,GCP,Fresher
1149,Data Analytics,PwC,SQL,Not Fresher
1150,Web Development,Google,React,Not Fresher
1151,Game Development,Electronic Arts,Unity,Not Fresher
1152,Mobile Development,SAP Lab,Azure,Not Fresher
1153,Data Analytics,Persistent,Flutter,Fresher
1154,Embedded Systems,Texas Instruments,C,Not Fresher
1155,Cloud Computing,Statcon Electronics,Network Security,Fresher
1156,AI/ML,HSC,Angular,Not Fresher
1157,AI/ML,Azure,RTOS,Not Fresher
1158,Game Development,Cipla,Docker,Not Fresher
1159,Data Analytics,EY,SQL,Fresher
1160,DevOps,OnePlus,Tableau,Not Fresher
1161,AI/ML,NVIDIA,Scikit-learn,Not Fresher
1162,AI/ML,EY,GCP,Not Fresher
1163,Cloud Computing,Azure,GCP,Fresher
1164,Game Development,Azure,React,Not Fresher
1165,Cybersecurity,Atlassian,Kubernetes,Not Fresher
1166,Cloud Computing,SAP Lab,RTOS,Not Fresher
1167,DevOps,Atlassian,Kubernetes,Fresher
1168,Game Development,Electronic Arts,C#,Not Fresher
1169,Cloud Computing,Atlassian,Flutter,Not Fresher
1170,Data Analytics,Maverick Quantum,Scikit-learn,Not Fresher
1171,Cybersecurity,Mercer Mettl,Kubernetes,Not Fresher
1172,DevOps,Red Hat,Kubernetes,Not Fresher
1173,Web Development,Microsoft,Angular,Not Fresher
1174,Web Development,EY,C#,Not Fresher
1175,Cybersecurity,Palo Alto Networks,Network Security,Not Fresher
1176,DevOps,ICICI Prudential,Azure,Fresher
1177,AI/ML,OpenAI,PyTorch,Not Fresher
1178,DevOps,Atlassian,Docker,Not Fresher
1179,Cybersecurity,Zscaler,Ethical Hacking,Fresher
1180,Cloud Computing,Azure,Azure,Not Fresher
1181,Cloud Computing,Harness,Scikit-learn,Not Fresher
1182,Game Development,Philips,Firewalls,Not Fresher
1183,Web Development,Google,React,Fresher
1184,Cloud Computing,Azure,GCP,Fresher
1185,AI/ML,NVIDIA,PyTorch,Not Fresher
1186,Embedded Systems,Texas Instruments,Microcontrollers,Not Fresher
1187,Data Analytics,PwC,Tableau,Not Fresher
1188,Embedded Systems,Domato Book Co.,Power BI,Fresher
1189,Data Analytics,Persistent,C,Not Fresher
1190,Mobile Development,Statcon Electronics,Kotlin,Not Fresher
1191,Cloud Computing,Google Cloud,GCP,Not Fresher
1192,DevOps,Atlassian,CI/CD,Not Fresher
1193,Cybersecurity,Zscaler,Firewalls,Not Fresher
1194,Embedded Systems,Texas Instruments,RTOS,Not Fresher
1195,Web Development,Amazon,HTML/CSS,Not Fresher
1196,Cloud Computing,Azure,GCP,Fresher
1197,Cybersecurity,Tata Consulting Engineers,Ethical Hacking,Fresher
1198,Mobile Development,Mercer Mettl,Unreal Engine,Fresher
1199,Cloud Computing,Google Cloud,AWS,Not Fresher
1200,Game Development,JP Morgan,Firewalls,Fresher
1201,Data Analytics,Accolite,React,Not Fresher
1202,Embedded Systems,Intel,Microcontrollers,Not Fresher
1203,AI/ML,OpenAI,Scikit-learn,Not Fresher
1204,Cybersecurity,Cisco,Ethical Hacking,Not Fresher
1205,Web Development,Google,HTML/CSS,Not Fresher
1206,Game Development,Electronic Arts,Unreal Engine,Not Fresher
1207,AI/ML,OpenAI,TensorFlow,Not Fresher
1208,DevOps,AWS,Firewalls,Not Fresher
1209,Embedded Systems,Tech Mahindra,AWS,Not Fresher
1210,Web Development,Google,React,Not Fresher
1211,DevOps,Red Hat,CI/CD,Fresher
1212,DevOps,Google,Unreal Engine,Not Fresher
1213,Cybersecurity,Cisco,Firewalls,Not Fresher
1214,AI/ML,NVIDIA,PyTorch,Not Fresher
1215,Mobile Development,JSW,Docker,Not Fresher
1216,Data Analytics,Deloitte,Tableau,Fresher
1217,Game Development,Rockstar Games,C#,Not Fresher
1218,Web Development,Hyundai,Unreal Engine,Not Fresher
1219,Game Development,Electronic Arts,Unreal Engine,Not Fresher
1220,Embedded Systems,Texas Instruments,RTOS,Not Fresher
1221,Game Development,Ubisoft,Unity,Not Fresher
1222,Data Analytics,Schneider,Tableau,Not Fresher
1223,Embedded Systems,Oracle,Flutter,Not Fresher
1224,Cybersecurity,Apple,Ethical Hacking,Not Fresher
1225,Web Development,Talsmart,React Native,Not Fresher
1226,Game Development,Rockstar Games,Unreal Engine,Not Fresher
1227,DevOps,SAP Lab,C,Fresher
1228,Game Development,Samsung,Network Security,Not Fresher
1229,AI/ML,OpenAI,Scikit-learn,Not Fresher
1230,Cybersecurity,Zscaler,Firewalls,Fresher
1231,Cloud Computing,Harness,Scikit-learn,Not Fresher
1232,Cybersecurity,Cisco,Ethical Hacking,Not Fresher
1233,Cybersecurity,Cisco,Ethical Hacking,Not Fresher
1234,Web Development,Schneider,HTML/CSS,Not Fresher
1235,Embedded Systems,Intel,Microcontrollers,Fresher
1236,DevOps,GitHub,Kubernetes,Not Fresher
1237,Mobile Development,rtCamp,Unity,Not Fresher
1238,Data Analytics,Deloitte,Power BI,Not Fresher
1239,Embedded Systems,Cisco,Unity,Not Fresher
1240,AI/ML,JSW,C#,Not Fresher
1241,Web Development,Microsoft,HTML/CSS,Not Fresher
1242,Mobile Development,Amazon,Unreal Engine,Fresher
1243,Game Development,Azure,Azure,Not Fresher
1244,Game Development,Statcon Electronics,Microcontrollers,Fresher
1245,Web Development,Deutsche Bank,Microcontrollers,Fresher
1246,Game Development,Electronic Arts,Unreal Engine,Not Fresher
1247,AI/ML,DeepMind,TensorFlow,Not Fresher
1248,Embedded Systems,Talsmart,C#,Not Fresher
1249,Game Development,Electronic Arts,Unreal Engine,Fresher
1250,Cloud Computing,AWS,AWS,Not Fresher
1251,AI/ML,NVIDIA,TensorFlow,Not Fresher
1252,AI/ML,Amazon,PyTorch,Not Fresher
1253,Embedded Systems,Qualcomm,RTOS,Fresher
1254,Data Analytics,Genpact,Scikit-learn,Not Fresher
1255,Cybersecurity,HashedIn,Kubernetes,Fresher
1256,Web Development,HSC,AWS,Not Fresher
1257,Data Analytics,PwC,SQL,Not Fresher
1258,Mobile Development,PwC,GCP,Not Fresher
1259,Cloud Computing,Hexaware,GCP,Fresher
1260,AI/ML,NI Systems,C#,Not Fresher
1261,Cloud Computing,Persistent,RTOS,Not Fresher
1262,Web Development,Amazon,HTML/CSS,Not Fresher
1263,AI/ML,SAP Lab,Firewalls,Not Fresher
1264,Embedded Systems,Celebal Technologies,Firewalls,Not Fresher
1265,Cybersecurity,KPMG,Firewalls,Not Fresher
1266,Cloud Computing,Maverick Quantum,Power BI,Fresher
1267,AI/ML,Harness,Angular,Not Fresher
1268,Embedded Systems,Rockstar Games,AWS,Not Fresher
1269,Cybersecurity,Yamaha,GCP,Not Fresher
1270,AI/ML,NVIDIA,PyTorch,Fresher
1271,DevOps,GitHub,Kubernetes,Not Fresher
1272,Cybersecurity,Schneider,SQL,Not Fresher
1273,AI/ML,OpenAI,TensorFlow,Not Fresher
1274,Embedded Systems,Intel,C,Not Fresher
1275,Embedded Systems,Accenture,Kotlin,Not Fresher
1276,Cybersecurity,Palo Alto Networks,Firewalls,Not Fresher
1277,Game Development,Electronic Arts,C#,Fresher
1278,Cloud Computing,Azure,AWS,Not Fresher
1279,Mobile Development,OnePlus,Kotlin,Fresher
1280,Web Development,Google,React,Not Fresher
1281,Cybersecurity,Cisco,Network Security,Not Fresher
1282,Cybersecurity,Texas Instruments,SQL,Fresher
1283,Mobile Development,Samsung,React Native,Not Fresher
1284,Game Development,Ubisoft,Unity,Not Fresher
1285,DevOps,Persistent,Network Security,Not Fresher
1286,Web Development,Google,Angular,Not Fresher
1287,Web Development,Statcon Electronics,C#,Not Fresher
1288,Mobile Development,Samsung,React Native,Not Fresher
1289,Cybersecurity,Cisco,Ethical Hacking,Not Fresher
1290,Mobile Development,Deutsche Bank,Ethical Hacking,Fresher
1291,Mobile Development,OnePlus,Kotlin,Not Fresher
1292,Mobile Development,Apple,React Native,Not Fresher
1293,Cloud Computing,Red Hat,React Native,Not Fresher
1294,Data Analytics,EY,SQL,Not Fresher
1295,DevOps,Red Hat,Kubernetes,Fresher
1296,DevOps,OpenAI,PyTorch,Fresher
1297,Mobile Development,Mercer Mettl,RTOS,Not Fresher
1298,DevOps,Scaler,CI/CD,Fresher
1299,Cybersecurity,Cisco,Firewalls,Fresher
1300,Game Development,Google,C,Not Fresher
1301,Embedded Systems,ICICI Prudential,Unity,Not Fresher
1302,Web Development,Sanguine Global,Power BI,Not Fresher
1303,Game Development,Accolite,Kotlin,Not Fresher
1304,DevOps,Texas Instruments,SQL,Not Fresher
1305,DevOps,GitHub,Docker,Not Fresher
1306,Cybersecurity,Zscaler,Network Security,Not Fresher
1307,Web Development,Microsoft,HTML/CSS,Not Fresher
1308,Mobile Development,Microsoft,Angular,Fresher
1309,Web Development,Amazon,React,Not Fresher
1310,Embedded Systems,DeepMind,Tableau,Fresher
1311,Web Development,Amazon,Angular,Fresher
1312,Data Analytics,Azure,Unity,Not Fresher
1313,Mobile Development,TCS,C#,Fresher
1314,Cybersecurity,SAP Scholar,PyTorch,Fresher
1315,Mobile Development,Samsung,Kotlin,Not Fresher
1316,Embedded Systems,Apple,TensorFlow,Fresher
1317,Mobile Development,Apple,React Native,Not Fresher
1318,Data Analytics,PwC,Power BI,Not Fresher
1319,Cloud Computing,HSC,RTOS,Not Fresher
1320,Cybersecurity,Domato Book Co.,Tableau,Fresher
1321,Web Development,Google,HTML/CSS,Not Fresher
1322,Cloud Computing,Oracle,C#,Not Fresher
1323,Embedded Systems,Qualcomm,Microcontrollers,Not Fresher
1324,Data Analytics,Samsung,PyTorch,Not Fresher
1325,AI/ML,Zscaler,Firewalls,Fresher
1326,Cloud Computing,Google Cloud,GCP,Not Fresher
1327,Web Development,PwC,Angular,Not Fresher
1328,AI/ML,Samsung,Ethical Hacking,Not Fresher
1329,Web Development,Google,React,Fresher
1330,Cybersecurity,Zscaler,Network Security,Not Fresher
1331,Mobile Development,Apple,React Native,Not Fresher
1332,Mobile Development,Apple,Kotlin,Not Fresher
1333,Cloud Computing,AWS,GCP,Not Fresher
1334,Cybersecurity,Cisco,Firewalls,Fresher
1335,Embedded Systems,Qualcomm,Microcontrollers,Not Fresher
1336,AI/ML,Nokia,SQL,Fresher
1337,AI/ML,Amazon,RTOS,Not Fresher
1338,Embedded Systems,Intel,C,Not Fresher
1339,Game Development,Electronic Arts,Unreal Engine,Not Fresher
1340,DevOps,Atlassian,Docker,Not Fresher
1341,Embedded Systems,Intel,Microcontrollers,Not Fresher
1342,Cybersecurity,Cisco,Firewalls,Not Fresher
1343,AI/ML,NVIDIA,TensorFlow,Fresher
1344,Cloud Computing,Red Hat,SQL,Fresher
1345,Web Development,Sabre,React Native,Not Fresher
1346,Cloud Computing,Azure,Azure,Fresher
1347,DevOps,Talsmart,Firewalls,Not Fresher
1348,Web Development,Google,React,Fresher
1349,Web Development,Amazon,React,Fresher
1350,Cybersecurity,Palo Alto Networks,Network Security,Not Fresher
1351,Data Analytics,Sanguine Global,AWS,Not Fresher
1352,Embedded Systems,Qualcomm,RTOS,Not Fresher
1353,DevOps,Mahindra & Mahindra,Ethical Hacking,Not Fresher
1354,Cloud Computing,Azure,GCP,Fresher
1355,Cybersecurity,Infosys,SQL,Not Fresher
1356,Cloud Computing,Google Cloud,Azure,Not Fresher
1357,Web Development,Google,PyTorch,Fresher
1358,Data Analytics,PwC,SQL,Not Fresher
1359,Embedded Systems,Texas Instruments,C,Not Fresher
1360,DevOps,Marsh McLennan,TensorFlow,Not Fresher
1361,AI/ML,DeepMind,PyTorch,Fresher
1362,Cybersecurity,Cisco,Firewalls,Fresher
1363,Web Development,Microsoft,React,Not Fresher
1364,Web Development,Google,Angular,Not Fresher
1365,Embedded Systems,PwC,Docker,Not Fresher
1366,Embedded Systems,Mahindra & Mahindra,Network Security,Not Fresher
1367,Web Development,Oracle,SQL,Fresher
1368,Mobile Development,OnePlus,Kotlin,Fresher
1369,Cloud Computing,Silicon Labs,Firewalls,Not Fresher
1370,Game Development,Hexaware,Unity,Not Fresher
1371,Embedded Systems,Deutsche Bank,GCP,Not Fresher
1372,Cloud Computing,Blackrock,SQL,Not Fresher
1373,Web Development,Amazon,React,Fresher
1374,Data Analytics,EY,Tableau,Not Fresher
1375,Web Development,Amazon,HTML/CSS,Fresher
1376,AI/ML,DeepMind,Scikit-learn,Fresher
1377,Cloud Computing,TCS,HTML/CSS,Not Fresher
1378,Web Development,Amazon,Angular,Not Fresher
1379,DevOps,Bosch Ltd.,Angular,Not Fresher
1380,Embedded Systems,TVS Motors,Docker,Not Fresher
1381,Mobile Development,Samsung,Flutter,Not Fresher
1382,Mobile Development,Dell Technologies,SQL,Not Fresher
1383,DevOps,Red Hat,CI/CD,Not Fresher
1384,Game Development,Rockstar Games,C#,Fresher
1385,Data Analytics,OnePlus,Angular,Not Fresher
1386,DevOps,Dell Technologies,SQL,Not Fresher
1387,DevOps,Red Hat,Docker,Fresher
1388,Mobile Development,Red Hat,TensorFlow,Not Fresher
1389,Embedded Systems,Intel,C,Not Fresher
1390,Mobile Development,Watchguard,Network Security,Not Fresher
1391,Cybersecurity,Zscaler,Azure,Not Fresher
1392,Web Development,Google,HTML/CSS,Not Fresher
1393,Cybersecurity,Cisco,Firewalls,Not Fresher
1394,Data Analytics,Rockstar Games,Power BI,Not Fresher
1395,Embedded Systems,Watchguard,PyTorch,Not Fresher
1396,Mobile Development,OnePlus,Kotlin,Not Fresher
1397,AI/ML,Samsung,Azure,Not Fresher
1398,DevOps,Red Hat,React Native,Fresher
1399,Cloud Computing,Oracle,Network Security,Not Fresher
1400,Cybersecurity,HSC,Kubernetes,Not Fresher
1401,Web Development,Amazon,React,Not Fresher
1402,Cloud Computing,Talsmart,Firewalls,Not Fresher
1403,DevOps,GitHub,CI/CD,Not Fresher
1404,Embedded Systems,EVAge Motors,Unreal Engine,Not Fresher
1405,Cloud Computing,Seagate,Unreal Engine,Not Fresher
1406,DevOps,Red Hat,Docker,Not Fresher
1407,Embedded Systems,Bosch Ltd.,Power BI,Not Fresher
1408,Cloud Computing,Principal Global,Ethical Hacking,Not Fresher
1409,Mobile Development,Nokia,HTML/CSS,Not Fresher
1410,Cybersecurity,Cisco,React,Fresher
1411,AI/ML,OpenAI,PyTorch,Not Fresher
1412,Cybersecurity,Palo Alto Networks,Firewalls,Fresher
1413,Cloud Computing,Cimpress,C#,Not Fresher
1414,AI/ML,Ubisoft,Kotlin,Not Fresher
1415,DevOps,Atlassian,CI/CD,Not Fresher
1416,Game Development,Electronic Arts,Unity,Fresher
1417,AI/ML,Oracle,RTOS,Not Fresher
1418,Data Analytics,PwC,Tableau,Not Fresher
1419,Cybersecurity,Bosch Ltd.,Kubernetes,Not Fresher
1420,Game Development,Ubisoft,Unreal Engine,Fresher
1421,Mobile Development,HSC,TensorFlow,Not Fresher
1422,Game Development,Ubisoft,Unity,Not Fresher
1423,Embedded Systems,Oracle,TensorFlow,Fresher
1424,Data Analytics,JP Morgan,Docker,Not Fresher
1425,Game Development,Electronic Arts,Unreal Engine,Fresher
1426,Embedded Systems,Texas Instruments,RTOS,Not Fresher
1427,Mobile Development,Cisco,Flutter,Not Fresher
1428,Web Development,Amazon,HTML/CSS,Not Fresher
1429,Mobile Development,Harness,C#,Not Fresher
1430,Data Analytics,Watchguard,Kotlin,Not Fresher
1431,Web Development,Secure Meters,Firewalls,Not Fresher
1432,Cloud Computing,Atlassian,Power BI,Fresher
1433,DevOps,Philips,RTOS,Not Fresher
1434,Game Development,Deloitte,CI/CD,Not Fresher
1435,Embedded Systems,Amazon,Firewalls,Not Fresher
1436,Cybersecurity,Sanguine Global,HTML/CSS,Not Fresher
1437,Cybersecurity,Palo Alto Networks,Ethical Hacking,Not Fresher
1438,Cybersecurity,Cisco,Ethical Hacking,Not Fresher
1439,DevOps,Atlassian,Kubernetes,Not Fresher
1440,AI/ML,OpenAI,TensorFlow,Not Fresher
1441,Cybersecurity,Cisco,Ethical Hacking,Not Fresher
1442,Game Development,Electronic Arts,Unreal Engine,Not Fresher
1443,Game Development,ICICI Prudential,Ethical Hacking,Fresher
1444,Mobile Development,Samsung,Kotlin,Fresher
1445,Embedded Systems,Texas Instruments,Microcontrollers,Not Fresher
1446,Cybersecurity,JK Cement,Power BI,Not Fresher
1447,AI/ML,Secure Meters,React,Not Fresher
1448,AI/ML,NVIDIA,PyTorch,Not Fresher
1449,Embedded Systems,NI Systems,C#,Not Fresher
1450,Mobile Development,Scaler,Angular,Not Fresher
1451,Mobile Development,Bosch Ltd.,AWS,Not Fresher
1452,Cybersecurity,Palo Alto Networks,Network Security,Not Fresher
1453,Cloud Computing,Google Cloud,AWS,Not Fresher
1454,DevOps,GitHub,Docker,Not Fresher
1455,DevOps,GitHub,Docker,Not Fresher
1456,Web Development,Google,HTML/CSS,Fresher
1457,Cloud Computing,Google Cloud,GCP,Not Fresher
1458,Embedded Systems,Texas Instruments,C,Not Fresher
1459,Cloud Computing,Micron Semiconductor,PyTorch,Not Fresher
1460,Cybersecurity,GitHub,Scikit-learn,Not Fresher
1461,Game Development,Rockstar Games,Unreal Engine,Not Fresher
1462,Mobile Development,Deloitte,Unity,Not Fresher
1463,DevOps,Google,Unreal Engine,Not Fresher
1464,Mobile Development,Cisco,React,Not Fresher
1465,Cloud Computing,Scaler,C#,Fresher
1466,Cybersecurity,Mercer Mettl,Kotlin,Fresher
1467,DevOps,GitHub,Kubernetes,Fresher
1468,AI/ML,OpenAI,TensorFlow,Not Fresher
1469,Cybersecurity,Google,C#,Fresher
1470,Embedded Systems,Accenture,Unreal Engine,Not Fresher
1471,Data Analytics,EY,SQL,Not Fresher
1472,Game Development,Rockstar Games,C#,Not Fresher
1473,AI/ML,OpenAI,TensorFlow,Not Fresher
1474,Cloud Computing,Google Cloud,AWS,Fresher
1475,DevOps,Accolite,Angular,Not Fresher
1476,Data Analytics,Nokia,React,Not Fresher
1477,Game Development,Rockstar Games,C#,Not Fresher
1478,Game Development,Samsung,Scikit-learn,Not Fresher
1479,Data Analytics,Nokia,Ethical Hacking,Not Fresher
1480,Data Analytics,Seagate,React Native,Not Fresher
1481,Game Development,Talsmart,React Native,Not Fresher
1482,AI/ML,SunLife,GCP,Not Fresher
1483,Cybersecurity,Qualcomm,TensorFlow,Fresher
1484,Cloud Computing,Cimpress,CI/CD,Not Fresher
1485,AI/ML,Infosys,AWS,Not Fresher
1486,Cloud Computing,Sanguine Global,C,Not Fresher
1487,Cybersecurity,British Telecom,Kubernetes,Not Fresher
1488,Cybersecurity,British Telecom,HTML/CSS,Not Fresher
1489,Web Development,Hexaware,GCP,Not Fresher
1490,Cloud Computing,Mercer Mettl,RTOS,Fresher
1491,Mobile Development,TVS Motors,RTOS,Not Fresher
1492,Cybersecurity,Accolite,Azure,Not Fresher
1493,Cybersecurity,EY,Microcontrollers,Fresher
1494,Game Development,Electronic Arts,Unity,Not Fresher
1495,Game Development,Ubisoft,Unreal Engine,Not Fresher
1496,Cloud Computing,Harness,PyTorch,Not Fresher
1497,Cloud Computing,Google Cloud,AWS,Not Fresher
1498,DevOps,Infosys,GCP,Not Fresher
1499,Data Analytics,EY,SQL,Not Fresher
1500,AI/ML,Yamaha,Ethical Hacking,Fresher
1501,Data Analytics,PwC,Tableau,Not Fresher
1502,Embedded Systems,Texas Instruments,RTOS,Fresher
1503,Data Analytics,JK Cement,C#,Not Fresher
1504,Data Analytics,EY,SQL,Fresher
1505,Cybersecurity,Hyundai,Kubernetes,Not Fresher
1506,Cybersecurity,Zscaler,Ethical Hacking,Fresher
1507,Mobile Development,Yamaha,RTOS,Fresher
1508,AI/ML,British Telecom,Microcontrollers,Not Fresher
1509,Web Development,Google Cloud,Tableau,Not Fresher
1510,Mobile Development,OnePlus,React Native,Fresher
1511,AI/ML,Seagate,SQL,Not Fresher
1512,Game Development,Rockstar Games,Unreal Engine,Fresher
1513,Cybersecurity,Cisco,Firewalls,Not Fresher
1514,DevOps,JSW,Kubernetes,Not Fresher
1515,Data Analytics,Silicon Labs,Network Security,Not Fresher
1516,Game Development,Ubisoft,C#,Fresher
1517,Game Development,Rockstar Games,Unreal Engine,Not Fresher
1518,Cloud Computing,Mercer Mettl,SQL,Not Fresher
1519,AI/ML,OpenAI,TensorFlow,Not Fresher
1520,Data Analytics,Amazon,Docker,Fresher
1521,AI/ML,OpenAI,RTOS,Fresher
1522,Web Development,ICICI Prudential,HTML/CSS,Not Fresher
1523,Data Analytics,PwC,Tableau,Not Fresher
1524,Mobile Development,Apple,Kotlin,Fresher
1525,Cybersecurity,Amazon,Angular,Not Fresher
1526,Cybersecurity,Sanguine Global,HTML/CSS,Not Fresher
1527,Data Analytics,Deloitte,Tableau,Not Fresher
1528,Cloud Computing,Azure,AWS,Not Fresher
1529,Web Development,Microsoft,React,Fresher
1530,AI/ML,OpenAI,TensorFlow,Not Fresher
1531,Game Development,OpenAI,SQL,Not Fresher
1532,Game Development,Ubisoft,Unity,Not Fresher
1533,DevOps,Cisco,Angular,Not Fresher
1534,AI/ML,Batt:RE,React Native,Not Fresher
1535,Data Analytics,Deutsche Bank,C#,Not Fresher
1536,Web Development,Mercer Mettl,Scikit-learn,Not Fresher
1537,Cybersecurity,Juniper Networks,C#,Not Fresher
1538,Web Development,EVAge Motors,Microcontrollers,Not Fresher
1539,AI/ML,NI Systems,C,Fresher
1540,Web Development,Deutsche Bank,Angular,Not Fresher
1541,Mobile Development,Apple,Kotlin,Not Fresher
1542,Cloud Computing,Google Cloud,GCP,Not Fresher
1543,Game Development,Oracle,Unity,Not Fresher
1544,Mobile Development,Apple,Kubernetes,Not Fresher
1545,DevOps,Sanguine Global,GCP,Not Fresher
1546,Cloud Computing,Azure,Azure,Not Fresher
1547,AI/ML,Principal Global,Ethical Hacking,Not Fresher
1548,Game Development,Juniper Networks,Azure,Not Fresher
1549,AI/ML,DeepMind,PyTorch,Fresher
1550,Web Development,Statcon Electronics,CI/CD,Not Fresher
1551,Game Development,Synopsys,Flutter,Not Fresher
1552,Cybersecurity,Batt:RE,PyTorch,Not Fresher
1553,Web Development,Amazon,HTML/CSS,Not Fresher
1554,DevOps,Red Hat,CI/CD,Not Fresher
1555,Mobile Development,JSW,Network Security,Not Fresher
1556,Cloud Computing,Google Cloud,AWS,Not Fresher
1557,Mobile Development,OnePlus,Microcontrollers,Not Fresher
1558,Data Analytics,Ubisoft,React Native,Not Fresher
1559,AI/ML,AWS,Unity,Fresher
1560,Embedded Systems,HashedIn,React,Fresher
1561,Mobile Development,Seagate,Microcontrollers,Not Fresher
1562,Cybersecurity,Palo Alto Networks,Network Security,Not Fresher
1563,Web Development,Amazon,Angular,Not Fresher
